,sr,miu,irstp,Total Aggregated Utility,Utility 2035,Utility 2055,Utility 2075
0,0.16187936957017454,2205.9035516462186,0.0010000693761149247,17825.43044284831,3431.427709291816,6045.7474506339295,8005.9813550957415
1,0.12702278900838254,2159.7399176788117,0.0010000005580731355,17751.95304471094,3455.707591678218,6051.481266951914,7990.160823350617
2,0.1688640493512969,2152.3775085343377,0.001000000179155799,17856.761649225733,3425.0530232867522,6041.346066796637,8005.373573854759
3,0.19462424713171692,2138.53073752708,0.001000000378902492,17900.04034382229,3405.000175995167,6031.153771606849,8006.984425508312
4,0.11528601474621156,2228.6692406566467,0.0010000097599622028,17690.54266218804,3465.199352687645,6055.419780208122,7985.285592052651
5,0.10129396368606197,2244.9535698581594,0.001000001970518169,17628.331282643485,3475.0380716412838,6056.882937520103,7975.472497683199
6,0.18004126750061764,2277.776743140644,0.0010000012525705599,17839.27097474841,3418.552510344334,6041.216466943362,8010.134412415161
7,0.11936501823613783,2241.2330168468307,0.001000004019543209,17702.95273857496,3462.4710269803486,6055.13523596638,7987.974855783928
8,0.10793886716982487,2221.5287607669347,0.0010000033447108319,17662.642985839444,3470.2240267524517,6056.012006739614,7980.194744469913
9,0.14411243374679375,2215.0689490558802,0.001000000306028568,17783.601690002968,3444.5538855160403,6050.399163721867,8000.24095801474
10,0.13631364269853846,2213.5502655481664,0.0010000000842486062,17763.097325336148,3450.149873551617,6051.949036145816,7996.814226848131
11,0.1463371033898675,2175.1419294277266,0.0010000001239497203,17801.05217368861,3442.260375416992,6048.635469228902,8000.037512257064
12,0.11309595619003945,2149.7680497454835,0.001000000096191063,17705.69613078091,3465.162557507973,6052.578660525055,7980.8844108475005
13,0.12393029572549734,2294.760879072398,0.0010000001586401228,17708.159279559826,3459.6397870139144,6055.0705915405,7990.860326398217
14,0.18615855842475793,2196.4979929372266,0.0010000001975184278,17868.057820492017,3413.076984928338,6037.699059442587,8010.032521278342
