,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
0,251,2,12815.144965869804,4,11131.414647848227,30.520171569317057,0.285607065408401,0.5563131034666088,6.0
1,633,2,10009.624667742304,3,11196.949130670275,34.272551766991846,0.2846870157572012,0.5750673738731249,5.0
2,461,0,10499.185846469376,4,11190.540531580678,19.397494875013667,0.28478332407242735,0.5721204269463332,5.0
3,578,0,6696.805764044588,3,11159.872607706353,29.4650838024873,0.2852713808862451,0.5572551616465533,6.0
4,848,0,5696.133820708817,2,11181.316673507783,26.940177078047164,0.28497902044547596,0.5617841179050457,6.0
5,8,1,6962.7271213343,0,11161.32822335148,38.80347316350695,0.28525238017794463,0.5576182149039388,6.0
6,737,1,12327.23950584933,4,11243.420666388252,20.83665550502556,0.2838968517041686,0.6068471484718104,0.0
7,519,1,5158.101483294665,3,11305.07309293649,7.270124893617631,0.2826046426754358,0.8477052075865661,0.0
8,700,1,11879.488976794011,3,11207.553246074554,40.36141372739131,0.2846077080240088,0.5716940731526842,5.0
9,315,1,12391.031985433176,1,11113.018847608215,43.10181862763335,0.2858818747597007,0.5508109484398331,7.0
10,959,2,4976.352053850323,4,11044.076831421631,52.145027266068674,0.2866952560947885,0.5432070856365584,7.0
11,35,2,9394.998943426246,1,11222.975661809558,15.780020867474583,0.2842679894124013,0.5899989205102786,0.0
12,590,1,6515.792539363234,3,11168.380853142136,44.796671847554755,0.2851596617442945,0.5594580796803615,6.0
13,732,2,5303.896916698137,0,11169.832593763771,22.82037216114118,0.28507996034620303,0.5639941172934088,6.0
14,614,1,11065.796270713101,0,11185.737686402164,31.191798257029095,0.2849292795424098,0.5616987475598266,6.0
15,845,2,5444.318509030514,2,11203.099032820186,45.32021938705626,0.2846860407257658,0.5679443480595568,5.0
16,450,1,5864.984437722948,5,11151.635843352822,49.29320358272075,0.28538792661014656,0.5567812937962779,6.0
17,343,2,10189.711150735224,5,11223.009872009594,34.848889070014586,0.2843720766801721,0.5791682880965208,4.0
18,591,1,4757.928776095223,1,11231.897302270927,20.94925398315423,0.2842475729942409,0.5816553140038673,3.0
19,778,0,8775.967099639362,5,11248.736310990447,30.928184422385506,0.2837921038315757,0.6124674759725056,0.0
20,742,0,12878.508445987018,5,11147.430283612353,35.943702952517945,0.28544204865879513,0.555871521888151,6.0
21,795,0,8955.464945127307,0,11163.07355558295,26.935230494383624,0.28522957337196897,0.5580620170975503,6.0
22,411,2,12609.230648843344,0,11240.340915513945,13.220530795833026,0.2839557599527643,0.6038344883802205,0.0
23,954,0,7865.956560184191,3,11163.439661119417,40.44289206775718,0.28522483025118717,0.5581577581444913,6.0
24,719,1,9055.827683759582,5,11084.097797370112,55.083144300211224,0.2862042074613891,0.5492083835720106,7.0
25,381,1,8257.949146758094,2,11185.520362809162,26.97583391970414,0.28485718544109734,0.5699681447621823,5.0
26,52,2,4341.150803950239,3,11180.009042400188,24.770749999038507,0.2849367861961186,0.5677478461692538,5.0
27,525,0,9374.202426491833,4,11253.135039087834,9.562455830384968,0.28370224873458283,0.6175805156437874,0.0
28,352,1,9217.848330981671,1,11216.95224177028,26.196347869840874,0.28436950501725405,0.5860375205152742,2.0
29,166,0,6401.275931526969,5,11176.845408425881,35.220042706806105,0.2849818150193402,0.5665355123239073,5.0
30,936,2,8963.688526227044,3,11229.94226400629,20.72942587378696,0.28426135368416466,0.5830512926693212,3.0
31,145,0,11309.40567953391,3,11122.658695285198,39.41508934177811,0.28571875412149816,0.5544893028258107,6.0
32,762,1,4579.138251680582,4,11199.292099076487,22.073759941794645,0.2846512045058613,0.5762056039304102,4.0
33,703,0,9466.295280788108,3,11281.793462763719,24.595260279572475,0.2833146115426838,0.62711331601171,0.0
34,939,2,12187.303532751926,3,11189.953241059062,33.21702439601375,0.2847920343979708,0.5718618559796651,5.0
35,12,1,10270.04198625435,0,11274.785012951801,15.270113636434967,0.2834335673335573,0.6225101694670072,0.0
36,779,2,13405.006748709722,2,11191.464261768446,41.031377815650416,0.28483914101967606,0.5652755470220058,6.0
37,938,1,5099.4545942466175,3,11304.441811462999,6.592959148452764,0.2829205337815828,0.6504067381909444,0.0
38,827,0,8007.242974711227,0,11216.22395252905,25.923448535457318,0.28438153439847746,0.5855797756032833,2.0
39,317,2,5487.154057395947,3,11232.877061011823,37.15417070726294,0.2842134146723606,0.5848125444261606,3.0
40,654,0,5091.493597599631,4,11212.560424506313,40.49717816989772,0.2845473586025037,0.5719095691819606,5.0
41,362,0,5236.263140903934,5,11199.986258980129,32.924103822564064,0.28464053002942735,0.5765494734137969,4.0
42,301,2,5268.5891751126655,2,11194.190453157393,19.295794121311555,0.28472876148620935,0.5737699052150277,5.0
43,65,2,11218.981138101924,3,11243.429892802476,32.915725348820345,0.2840351918958766,0.5918166374575027,0.0
44,649,2,11223.055493911863,0,11229.202071322989,26.670487025483467,0.2842908029771297,0.5801380809647074,3.0
45,840,0,5822.101163312157,5,11195.962697356197,44.62637713937451,0.28477569547625653,0.5669519703384298,5.0
46,988,2,10224.473581038343,5,11250.34230008312,27.666435987883702,0.2840075446408167,0.5861416640549155,2.0
47,799,0,9107.101054216537,5,11219.876248279012,18.663533963387806,0.28442104087734255,0.5775298141186104,4.0
48,228,1,6728.697939351379,2,11083.05863882931,41.55000586200046,0.286239731454928,0.5466537220407971,7.0
49,816,2,5160.596606761815,1,11061.03049231525,45.09701379176259,0.28650299857067446,0.5456529107953192,7.0
50,479,2,6704.584869937039,2,11180.875038308848,36.873083380247444,0.2849951787803582,0.5601518117001155,6.0
