,sr,miu,irstp_consumption,irstp_damage,Utility 2105,Disutility 2105,Intratemporal consumption Gini 2105,Intratemporal damage Gini 2105,Temperature overshoot 2105
0,795,1,8515.090051090563,3,11262.621678474448,14.043612999602848,0.28349701416834594,0.6303537732678263,0.0
1,168,0,11067.174468906174,4,11276.636332903983,14.713083629682275,0.28315663240474537,0.6622389318810921,0.0
2,204,2,8781.991377405397,1,11152.683211588035,50.035948058600624,0.28531938611858776,0.5601004680669945,6.0
3,482,0,11342.373904396292,5,11223.162660828388,35.71825408859434,0.28426478761630175,0.5901277750546525,0.0
4,203,1,12784.001342453414,5,11170.532116401891,50.56389488796111,0.2851310318169273,0.5600432836817423,6.0
5,508,0,13576.752284097212,2,11206.6889138576,42.36714158260064,0.2845358693125684,0.5800364340336388,4.0
6,344,1,12424.266415114118,4,11247.116657248718,32.0558364458358,0.2838244446195026,0.6106941151425099,0.0
7,521,1,13555.941982113618,1,11152.843157674235,50.45605581349102,0.2853172490201426,0.5601444367187873,6.0
8,523,0,4624.967852709103,4,11262.970371699952,30.04483951827161,0.28348913387704683,0.6308763178665643,0.0
9,244,1,11268.934884200753,1,11254.459643195349,36.67450319626149,0.2838376254264746,0.6005020003297262,0.0
10,819,0,4449.105629935515,4,11247.041143590792,28.175981328182303,0.2838259431288937,0.6106127836300485,0.0
11,487,1,13351.765183088328,1,11089.856364001078,57.876117358504544,0.28613516465392397,0.5500388629745127,7.0
12,605,1,12100.459222629932,1,11240.984956712826,39.43678491571157,0.2840773491769082,0.5900923302942492,0.0
13,932,1,12059.528476982741,1,11185.70528643685,45.76691705336267,0.28485448813230324,0.5700451557774932,5.0
14,683,2,11913.915520026518,4,11283.109653648104,20.868383701102445,0.2829734298481136,0.6909639978805282,0.0
15,244,1,12716.255272003256,1,11236.48776099037,36.16236789548741,0.2840278865312085,0.6003760758063782,0.0
16,245,0,13159.217611734135,2,11276.04373231321,13.600394169710297,0.2831721556012002,0.6604795803705616,0.0
17,484,2,12706.066125136269,5,11185.599216681045,45.74516648449415,0.28485603548790406,0.5700009626596584,5.0
18,677,2,12094.132568194878,2,11283.75811379608,22.084237302149134,0.2829517724481065,0.6965586232863289,0.0
19,527,0,13020.954723569945,4,11247.456081664339,34.14787472355156,0.28381769884658437,0.6110611547826481,0.0
20,462,2,12918.116023626908,4,11236.437455022093,35.14490652244076,0.28402881617319564,0.6003329605976058,0.0
21,919,2,12454.795147642111,4,11206.646066595196,40.64772232755533,0.2845365478506789,0.5800131358395595,4.0
22,325,1,4807.161249939346,4,11224.81649565969,42.400719091858,0.28434354818578894,0.580144777309644,4.0
23,178,0,4082.8053135131936,1,11280.263449921636,30.21373470498216,0.28331303511061107,0.6302218918621113,0.0
24,257,2,11091.295239435543,1,10978.507696034616,69.92317826849673,0.28739191526059243,0.5400760952487013,7.0
25,677,2,4303.887713371103,5,11302.853029253318,22.661344142031883,0.2827789946784872,0.6900572643543051,0.0
26,146,0,11693.108837205533,2,11246.975720464674,27.9124362180696,0.28382724073675525,0.6105424154951529,0.0
27,265,1,11593.841134824179,0,11276.93356122269,25.395641534348886,0.2831487811239352,0.6631751665294603,0.0
28,257,2,10525.868767302176,5,10990.693239770406,69.95347614203018,0.28725988545641606,0.5401303019477466,7.0
29,221,0,9676.077494387304,2,11268.073489478296,28.470679872107514,0.28337067277855565,0.6402119083473349,0.0
30,368,1,12955.173520668808,1,11255.128021828143,32.18950782659618,0.28366049982373814,0.6200523614738375,0.0
31,89,1,12423.106936668055,4,11264.703375389452,34.33542667928914,0.283641492712862,0.6104724916328357,0.0
32,119,0,13199.858082841758,2,11272.247773743213,27.09730987687532,0.2832689649047072,0.6500607183610052,0.0
33,648,0,13076.194432568482,2,11306.94591856445,17.518318460745334,0.2826076374354704,0.8477014581465142,0.0
34,645,1,6680.096053330843,4,11223.300589456345,39.289500599246125,0.28426242399445023,0.5902230547638327,0.0
35,121,1,9064.94473803045,4,11282.252185481502,23.073258743259476,0.2830004837858484,0.6848019639939027,0.0
36,320,2,13345.67289353951,4,11308.317477040528,25.401263682893283,0.28282022770579246,0.6617041684012023,0.0
37,496,1,12852.447106785517,2,11223.406609614112,39.31569459932722,0.28426060601182235,0.5902964301613456,0.0
38,930,1,13292.133243601538,4,11296.8211064673,24.553816108691283,0.2829044562877407,0.67047802786538,0.0
39,460,1,13606.949695195934,2,11317.882569699952,17.84899889419182,0.28248891276433113,0.8477330194320113,0.0
40,170,2,11950.742710321489,2,11238.073927128939,36.30545483587345,0.2839984238789532,0.6017550194478046,0.0
41,99,0,10648.53535579103,2,11287.36452505572,17.130842574608227,0.28279045307828554,0.8476570662901101,0.0
42,359,1,12364.68667008555,1,11301.915641186986,23.292467007638933,0.28280907875230255,0.6825820555396444,0.0
43,930,1,11553.455941799937,2,11279.109487780946,24.53783597070119,0.2830905212509054,0.6704116797330378,0.0
44,359,1,10926.044432323411,4,11312.821407528563,23.303618390006335,0.2826927771597143,0.68261376795017,0.0
